Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT,AMZN,BTC-USD,GC=F,GOOGL,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-27,114.41000366210938,19110.546875,1626.699951171875,96.70076751708984,229.71649169921875,118.31999969482422,20338.455078125,1636.5999755859375,99.18027437650241,234.95388322610455,113.05000305175781,18915.66796875,1626.699951171875,96.07593451258548,227.86056625784224,117.19999694824219,19221.83984375,1632.199951171875,98.61494711523052,233.18540604277874,60094700.0,58571439619.0,888.0,30072800.0,27018700.0
2022-09-28,118.01000213623047,19426.720703125,1660.4000244140625,99.22986602783203,234.24456787109375,118.69999694824219,19688.34375,1660.4000244140625,99.87453174796886,235.46888802626256,113.80000305175781,18553.296875,1620.4000244140625,96.31396358421772,228.0840616627681,114.37999725341797,19104.62109375,1620.4000244140625,96.84953796570939,230.10517219200622,55763800.0,53071298734.0,18311.0,32466300.0,29029700.0
2022-09-29,114.80000305175781,19573.05078125,1658.5,96.62142944335938,230.77561950683594,116.06999969482422,19589.265625,1662.5999755859375,97.8314301011561,233.15624924797467,113.05999755859375,18924.353515625,1640.0,95.17339822616405,227.77311079462302,115.5999984741211,19427.779296875,1657.0,97.8314301011561,232.1262635921422,58969700.0,41037843771.0,6028.0,31047200.0,27484200.0
2022-09-30,113.0,19431.7890625,1662.4000244140625,94.86593627929688,226.30587768554688,116.91999816894531,20109.849609375,1672.699951171875,98.08929527552542,233.72956515957875,112.83999633789062,19265.662109375,1658.0,94.77667009540615,226.14069268839654,114.08000183105469,19573.431640625,1661.699951171875,96.25446166796625,231.54326959007867,59479600.0,43975248085.0,548.0,32941500.0,35694800.0
2022-10-01,,19312.095703125,,,,,19471.154296875,,,,,19231.08203125,,,,,19431.10546875,,,,,18719537670.0,,,
2022-10-02,,19044.107421875,,,,,19370.30859375,,,,,18970.62109375,,,,,19311.849609375,,,,,20765955327.0,,,
2022-10-03,115.87999725341797,19623.580078125,1692.9000244140625,97.8314208984375,233.92393493652344,116.91000366210938,19653.54296875,1700.0,98.47609418773558,234.76929788636286,112.44999694824219,19025.2265625,1661.9000244140625,95.72879638211501,228.01607616652782,113.58000183105469,19044.068359375,1667.199951171875,95.9668344859771,228.74484142032514,50941900.0,30484729489.0,410.0,27982000.0,28880400.0
2022-10-04,121.08999633789062,20336.84375,1721.0999755859375,100.80683898925781,241.83343505859375,123.0,20380.34375,1728.0,101.0051965284241,243.27152748723756,119.79000091552734,19523.83984375,1696.0,99.557165305316,238.04384733649516,119.88999938964844,19623.583984375,1701.199951171875,99.61667862054995,238.15073348619765,62812600.0,35887278685.0,291.0,28850800.0,34888400.0
2022-10-05,120.94999694824219,20160.716796875,1711.4000244140625,100.59856414794922,242.1443328857422,121.75,20343.748046875,1726.5999755859375,101.09446557674383,243.48526533285255,117.69000244140625,19801.80078125,1703.0,97.99012535655747,237.18873940282495,118.58000183105469,20335.900390625,1724.0999755859375,99.01168108917751,239.02522675019813,48217500.0,33223790572.0,418.0,22176900.0,20347100.0
2022-10-06,120.30000305175781,19955.443359375,1711.699951171875,100.58863830566406,239.80258178710938,121.52999877929688,20408.392578125,1723.300048828125,102.08626265455283,243.25207293473719,119.5,19900.087890625,1709.0999755859375,99.76544016442644,239.11269245364227,120.7699966430664,20161.0390625,1721.0,99.85470635132027,240.91030415961444,42253800.0,34711412966.0,133.0,22324000.0,20239900.0
2022-10-07,114.55999755859375,19546.849609375,1700.5,97.87110137939453,227.60797119140625,118.16999816894531,20041.0859375,1710.0999755859375,99.7059350605101,234.4875170205017,113.87999725341797,19395.79296875,1693.699951171875,97.49421903648668,226.56825897097391,118.0,19957.55859375,1710.0999755859375,99.03150884851111,234.07939542761454,54678000.0,29227315390.0,179.0,27502800.0,37769600.0
